Resultado da Simulação

Arquivo de Entrada: entrada_Ex_Barra.txt


---------- Deslocamentos nos Pontos ----------
|Ponto|              u             |              v             |
|  260|            1.1322676339e+01|            5.6248281654e-23|
|  261|            1.1359205357e+01|            6.6174449004e-24|
|  262|            1.1395694196e+01|           -4.0428452439e-23|
|  263|            1.1432142857e+01|            5.6248281654e-23|
|  264|            1.1468551339e+01|           -1.9852334701e-23|
|  265|            1.1504919643e+01|            2.6469779602e-23|
|  266|            1.1541247768e+01|           -8.2718061255e-24|
|  267|            1.1577535714e+01|           -3.9704669403e-23|
|  268|            1.1613783482e+01|            1.7370792864e-23|
|  269|            1.1649991071e+01|           -1.4558378781e-22|
|  270|            1.1686158482e+01|            1.8197973476e-23|
|  271|            1.1722285714e+01|           -3.9704669403e-23|
|  272|            1.1758372768e+01|            4.9630836753e-23|
|  273|            1.1794419643e+01|            0.0000000000e+00|
|  274|            1.1830426339e+01|            1.3234889801e-23|
|  275|            1.1866392857e+01|            0.0000000000e+00|
|  276|            1.1902319196e+01|            3.9704669403e-23|
|  277|            1.1938205357e+01|           -9.9261673506e-24|
|  278|            1.1974051339e+01|           -6.6174449004e-24|
|  279|            1.2009857143e+01|           -1.3234889801e-23|
|  280|            1.2045622768e+01|            6.6174449004e-23|
|  281|            1.2081348214e+01|           -3.3087224502e-23|
|  282|            1.2117033482e+01|            3.3087224502e-24|
|  283|            1.2152678571e+01|           -3.9704669403e-23|
|  284|            1.2188283482e+01|            4.4254162772e-23|
|  285|            1.2223848214e+01|           -2.6469779602e-23|
|  286|            1.2259372768e+01|           -8.2718061255e-25|
|  287|            1.2294857143e+01|            0.0000000000e+00|
|  288|            1.2330301339e+01|            2.6469779602e-23|
|  289|            1.2365705357e+01|           -6.6174449004e-24|
|  290|            1.2401069196e+01|            0.0000000000e+00|
|  291|            1.2436392857e+01|           -1.4889251026e-23|
|  292|            1.2471676339e+01|            9.9261673506e-24|
|  293|            1.2506919643e+01|            8.2718061255e-25|
|  294|            1.2542122768e+01|           -9.9261673506e-24|
|  295|            1.2577285714e+01|           -1.3234889801e-23|
|  296|            1.2612408482e+01|            1.3234889801e-23|
|  297|            1.2647491071e+01|           -4.1359030628e-24|
|  298|            1.2682533482e+01|           -1.0753347963e-23|
|  299|            1.2717535714e+01|            1.6543612251e-23|
|  300|            1.2752497768e+01|           -1.4889251026e-23|
|  301|            1.2787419643e+01|            6.6174449004e-24|
|  302|            1.2822301339e+01|           -8.2718061255e-25|
|  303|            1.2865138393e+01|           -1.3234889801e-23|
|  304|            1.2873053571e+01|            8.2718061255e-25|
|  305|            1.2880888393e+01|            1.2407709188e-24|
|  306|            1.2888642857e+01|           -1.5994312626e-25|
|  307|            1.2896316964e+01|            5.5737756119e-26|
|  308|            1.2903910714e+01|            1.7771458473e-26|
|  309|            1.2911424107e+01|           -7.9971563128e-26|
|  310|            1.2918857143e+01|           -7.0681937108e-26|
|  311|            1.2926209821e+01|           -3.1746287181e-25|
|  312|            1.2933482143e+01|           -2.8515112913e-25|
|  313|            1.2940674107e+01|           -3.8006687325e-25|
|  314|            1.2947785714e+01|           -1.9710163033e-25|
|  315|            1.2954816964e+01|            3.8673117018e-26|
|  316|            1.2961767857e+01|            3.2665152363e-26|
|  317|            1.2968638393e+01|            1.7246392654e-25|
|  318|            1.2975428571e+01|            4.0389678347e-27|
|  319|            1.2982138393e+01|           -2.3042311497e-25|
|  320|            1.2988767857e+01|           -8.1991047045e-26|
|  321|            1.2995316964e+01|            2.4233807008e-27|
|  322|            1.3001785714e+01|           -4.0389678347e-28|
|  323|            1.3008174107e+01|           -1.6155871339e-27|
|  324|            1.3014482143e+01|            1.6155871339e-27|
|  325|            1.3020709821e+01|           -4.0389678347e-28|
|  326|            1.3026857143e+01|            1.3631516442e-27|
|  327|            1.3032924107e+01|           -1.6155871339e-27|
|  328|            1.3038910714e+01|           -8.0779356695e-28|
|  329|            1.3044816964e+01|           -3.0292258760e-27|
|  330|            1.3050642857e+01|            1.6155871339e-27|
|  331|            1.3056388393e+01|            3.6350710513e-27|
|  332|            1.3062053571e+01|           -8.8352421385e-28|
|  333|            1.3067638393e+01|           -1.2621774484e-27|
|  334|            1.3073142857e+01|            3.2311742678e-27|
|  335|            1.3078566964e+01|           -1.8301573001e-27|
|  336|            1.3083910714e+01|           -2.0194839174e-28|
|  337|            1.3089174107e+01|            1.2116903504e-27|
|  338|            1.3094357143e+01|            8.0779356695e-28|
|  339|            1.3099459821e+01|            3.4331226595e-27|
|  340|            1.3104482143e+01|           -4.0389678347e-27|
|  341|            1.3109424107e+01|            2.2214323091e-27|
|  342|            1.3114285714e+01|            1.6155871339e-27|
|  343|            1.3119066964e+01|            2.8272774843e-27|
|  344|            1.3123767857e+01|            3.2564178168e-27|
|  345|            1.3128388393e+01|            8.0779356695e-28|
|  346|            1.3132928571e+01|            1.2116903504e-27|
|  347|            1.3137388393e+01|            4.2914033244e-28|
|  348|            1.3141767857e+01|           -4.9477355975e-27|
|  349|            1.3146066964e+01|            6.0584517521e-28|
|  350|            1.3150285714e+01|            2.8272774843e-27|
|  351|            1.3154424107e+01|            0.0000000000e+00|
|  352|            1.3158482143e+01|            0.0000000000e+00|
|  353|            1.3162459821e+01|            2.4233807008e-27|
|  354|            1.3166357143e+01|           -2.4233807008e-27|
|  355|            1.3170174107e+01|            1.2116903504e-27|
|  356|            1.3173910714e+01|            0.0000000000e+00|
|  357|            1.3177566964e+01|            2.0194839174e-28|
|  358|            1.3181142857e+01|           -8.0779356695e-28|
|  359|            1.3184638393e+01|            8.0779356695e-28|
|  360|            1.3188053571e+01|            1.2116903504e-27|
|  361|            1.3191388393e+01|           -8.0779356695e-28|
|  362|            1.3194642857e+01|            2.4233807008e-27|
|  363|            1.3197816964e+01|           -6.0584517521e-28|
|  364|            1.3200910714e+01|           -5.6797985176e-29|
|  365|            1.3203924107e+01|           -4.0389678347e-28|
|  366|            1.3206857143e+01|           -1.8175355256e-27|
|  367|            1.3209709821e+01|            1.1107161546e-27|
|  368|            1.3212482143e+01|            8.0779356695e-28|
|  369|            1.3215174107e+01|           -7.0681937108e-28|
|  370|            1.3217785714e+01|           -1.6155871339e-27|
|  371|            1.3220316964e+01|            1.4136387422e-27|
|  372|            1.3222767857e+01|           -2.4233807008e-27|
|  373|            1.3225138393e+01|           -2.0194839174e-27|
|  374|            1.3227428571e+01|            0.0000000000e+00|
|  375|            1.3229638393e+01|            1.2116903504e-27|
|  376|            1.3231767857e+01|           -5.0487097934e-28|
|  377|            1.3233816964e+01|           -1.8175355256e-27|
|  378|            1.3235785714e+01|           -1.1107161546e-27|
|  379|            1.3237674107e+01|           -2.5243548967e-28|
|  380|            1.3239482143e+01|           -4.0389678347e-28|
|  381|            1.3241209821e+01|            1.0097419587e-28|
|  382|            1.3242857143e+01|           -1.7670484277e-28|
|  383|            1.3244424107e+01|            1.1107161546e-27|
|  384|            1.3245910714e+01|           -6.5633227314e-28|
|  385|            1.3247316964e+01|           -8.0779356695e-28|
|  386|            1.3248642857e+01|           -6.0584517521e-28|
|  387|            1.3249888393e+01|            1.1107161546e-27|
|  388|            1.3251053571e+01|           -4.5438388141e-28|
|  389|            1.3252138393e+01|            3.0292258760e-28|
|  390|            1.3253142857e+01|           -8.0779356695e-28|
|  391|            1.3254066964e+01|           -1.0097419587e-28|
|  392|            1.3254910714e+01|           -4.5438388141e-28|
|  393|            1.3255674107e+01|           -5.5535807728e-28|
|  394|            1.3256357143e+01|            7.8255001798e-28|
|  395|            1.3256959821e+01|           -1.2621774484e-29|
|  396|            1.3257482143e+01|            2.0194839174e-28|
|  397|            1.3257924107e+01|            4.0389678347e-28|
|  398|            1.3258285714e+01|           -2.5243548967e-28|
|  399|            1.3258566964e+01|           -4.0389678347e-28|
|  400|            1.3258767857e+01|           -5.9263175505e-28|
|  401|            1.3258888393e+01|            0.0000000000e+00|
------------------------------------------------------------------


---------- Forças por Elemento (axial) ----------
|Elemento|              Força             |
--------------------------------------------
|       1|                    3.295500e+05|
|       2|                    3.286500e+05|
|       3|                    3.277500e+05|
|       4|                    3.268500e+05|
|       5|                    3.259500e+05|
|       6|                    3.250500e+05|
|       7|                    3.241500e+05|
|       8|                    3.232500e+05|
|       9|                    3.223500e+05|
|      10|                    3.214500e+05|
|      11|                    3.205500e+05|
|      12|                    3.196500e+05|
|      13|                    3.187500e+05|
|      14|                    3.178500e+05|
|      15|                    3.169500e+05|
|      16|                    3.160500e+05|
|      17|                    3.151500e+05|
|      18|                    3.142500e+05|
|      19|                    3.133500e+05|
|      20|                    3.124500e+05|
|      21|                    3.115500e+05|
|      22|                    3.106500e+05|
|      23|                    3.097500e+05|
|      24|                    3.088500e+05|
|      25|                    3.079500e+05|
|      26|                    3.070500e+05|
|      27|                    3.061500e+05|
|      28|                    3.052500e+05|
|      29|                    3.043500e+05|
|      30|                    3.034500e+05|
|      31|                    3.025500e+05|
|      32|                    3.016500e+05|
|      33|                    3.007500e+05|
|      34|                    2.998500e+05|
|      35|                    2.989500e+05|
|      36|                    2.980500e+05|
|      37|                    2.971500e+05|
|      38|                    2.962500e+05|
|      39|                    2.953500e+05|
|      40|                    2.944500e+05|
|      41|                    2.935500e+05|
|      42|                    2.926500e+05|
|      43|                    2.917500e+05|
|      44|                    2.908500e+05|
|      45|                    2.899500e+05|
|      46|                    2.890500e+05|
|      47|                    2.881500e+05|
|      48|                    2.872500e+05|
|      49|                    2.863500e+05|
|      50|                    2.854500e+05|
|      51|                    2.845500e+05|
|      52|                    2.836500e+05|
|      53|                    2.827500e+05|
|      54|                    2.818500e+05|
|      55|                    2.809500e+05|
|      56|                    2.800500e+05|
|      57|                    2.791500e+05|
|      58|                    2.782500e+05|
|      59|                    2.773500e+05|
|      60|                    2.764500e+05|
|      61|                    2.755500e+05|
|      62|                    2.746500e+05|
|      63|                    2.737500e+05|
|      64|                    2.728500e+05|
|      65|                    2.719500e+05|
|      66|                    2.710500e+05|
|      67|                    2.701500e+05|
|      68|                    2.692500e+05|
|      69|                    2.683500e+05|
|      70|                    2.674500e+05|
|      71|                    2.665500e+05|
|      72|                    2.656500e+05|
|      73|                    2.647500e+05|
|      74|                    2.638500e+05|
|      75|                    2.629500e+05|
|      76|                    2.620500e+05|
|      77|                    2.611500e+05|
|      78|                    2.602500e+05|
|      79|                    2.593500e+05|
|      80|                    2.584500e+05|
|      81|                    2.575500e+05|
|      82|                    2.566500e+05|
|      83|                    2.557500e+05|
|      84|                    2.548500e+05|
|      85|                    2.539500e+05|
|      86|                    2.530500e+05|
|      87|                    2.521500e+05|
|      88|                    2.512500e+05|
|      89|                    2.503500e+05|
|      90|                    2.494500e+05|
|      91|                    2.485500e+05|
|      92|                    2.476500e+05|
|      93|                    2.467500e+05|
|      94|                    2.458500e+05|
|      95|                    2.449500e+05|
